model,time,delta_time,dataset,encoding,num_slices,num_dimensions,accuracy
DWN,2025-01-27 22:10:13,0.0607,Iris,Linear,,,0.7568
DWN,2025-01-27 22:10:13,0.0389,Iris,Scatter Code,10.0,100.0,0.9
DWN,2025-01-27 22:10:13,0.0416,Iris,Linear,,,0.7748
DWN,2025-01-27 22:10:13,0.0507,Iris,Linear,,,0.7568
DWN,2025-01-27 22:10:13,0.0538,Wine Quality,Scatter Code,10.0,50.0,0.7477
DWN,2025-01-27 22:10:13,0.048,Iris,Linear,,,0.8108
DWN,2025-01-27 22:10:13,0.0534,Wine Quality,Scatter Code,10.0,50.0,0.8829
DWN,2025-01-27 22:10:14,0.1493,Wine Quality,Scatter Code,10.0,50.0,0.8378
DWN,2025-01-27 22:10:14,0.0787,Iris,Scatter Code,10.0,100.0,0.7568
DWN,2025-01-27 22:10:14,0.0692,Wine Quality,Scatter Code,10.0,50.0,0.8288
DWN,2025-01-27 22:10:14,0.0708,Iris,Scatter Code,10.0,100.0,0.8468
DWN,2025-01-27 22:10:14,0.0848,Wine Quality,Scatter Code,10.0,50.0,0.8288
DWN,2025-01-27 22:10:14,0.0916,Wine Quality,Scatter Code,10.0,100.0,0.8559
DWN,2025-01-27 22:10:14,0.0741,Wine Quality,Scatter Code,10.0,50.0,0.8288
DWN,2025-01-27 22:10:14,0.0827,Wine Quality,Scatter Code,10.0,100.0,0.8018
DWN,2025-01-27 22:10:14,0.078,Wine Quality,Scatter Code,10.0,50.0,0.8198
DWN,2025-01-27 22:10:14,0.0813,Wine Quality,Scatter Code,10.0,100.0,0.8288
DWN,2025-01-27 22:10:14,0.078,Wine Quality,Scatter Code,10.0,50.0,0.8468
DWN,2025-01-27 22:10:14,0.082,Wine Quality,Scatter Code,10.0,100.0,0.8288
DWN,2025-01-27 22:10:14,0.0703,Wine Quality,Scatter Code,10.0,50.0,0.8559
DWN,2025-01-27 22:10:14,0.0898,Wine Quality,Scatter Code,10.0,100.0,0.8468
DWN,2025-01-27 22:10:14,0.9602,Wine Quality,Distributive,,,0.4937
DWN,2025-01-27 22:10:14,0.0643,Wine Quality,Scatter Code,10.0,50.0,0.8198
DWN,2025-01-27 22:10:14,0.0678,Wine Quality,Scatter Code,10.0,100.0,0.8649
DWN,2025-01-27 22:10:14,0.0634,Wine Quality,Scatter Code,10.0,100.0,0.8559
DWN,2025-01-27 22:10:15,0.0612,Wine Quality,Scatter Code,10.0,100.0,0.8378
DWN,2025-01-27 22:10:15,0.9163,Wine Quality,Distributive,,,0.4275
DWN,2025-01-27 22:10:15,0.6582,Wine Quality,Distributive,,,0.4928
DWN,2025-01-27 22:10:15,0.7043,Wine Quality,Distributive,,,0.4825
DWN,2025-01-27 22:10:16,0.9629,EEG Eye State,Distributive,,,0.4984
DWN,2025-01-27 22:10:16,1.1446,EEG Eye State,Distributive,,,0.483
DWN,2025-01-27 22:10:17,1.1187,EEG Eye State,Distributive,,,0.4951
DWN,2025-01-27 22:10:18,1.1789,EEG Eye State,Distributive,,,0.5063
DWN,2025-01-27 22:10:18,2.6344,EEG Eye State,Distributive,,,0.7597
DWN,2025-01-27 22:10:18,1.1541,EEG Eye State,Distributive,,,0.4872
DWN,2025-01-27 22:10:19,3.1573,EEG Eye State,Distributive,,,0.7399
DWN,2025-01-27 22:10:19,1.2062,EEG Eye State,Distributive,,,0.5068
DWN,2025-01-27 22:10:19,1.1557,EEG Eye State,Distributive,,,0.5002
DWN,2025-01-27 22:10:20,1.2258,EEG Eye State,Distributive,,,0.51
DWN,2025-01-27 22:10:20,1.0616,EEG Eye State,Distributive,,,0.5016
DWN,2025-01-27 22:10:21,2.8551,EEG Eye State,Distributive,,,0.7896
DWN,2025-01-27 22:10:21,1.2006,EEG Eye State,Distributive,,,0.4909
DWN,2025-01-27 22:10:22,1.1178,EEG Eye State,Distributive,,,0.504
DWN,2025-01-27 22:10:22,3.3501,EEG Eye State,Distributive,,,0.7862
DWN,2025-01-27 22:10:22,1.1631,EEG Eye State,Distributive,,,0.5305
DWN,2025-01-27 22:10:23,1.1383,EEG Eye State,Distributive,,,0.5305
DWN,2025-01-27 22:10:23,2.8848,EEG Eye State,Distributive,,,0.822
DWN,2025-01-27 22:10:24,1.1953,EEG Eye State,Distributive,,,0.5282
DWN,2025-01-27 22:10:24,1.1233,EEG Eye State,Distributive,,,0.5371
DWN,2025-01-27 22:10:25,1.1686,EEG Eye State,Distributive,,,0.517
DWN,2025-01-27 22:10:25,1.0402,EEG Eye State,Gaussian,,,0.5026
DWN,2025-01-27 22:10:25,3.3678,EEG Eye State,Distributive,,,0.8263
DWN,2025-01-27 22:10:26,1.1045,EEG Eye State,Gaussian,,,0.4639
DWN,2025-01-27 22:10:26,1.1554,EEG Eye State,Gaussian,,,0.4737
DWN,2025-01-27 22:10:26,2.807,EEG Eye State,Distributive,,,0.823
DWN,2025-01-27 22:10:27,1.1152,EEG Eye State,Gaussian,,,0.4951
DWN,2025-01-27 22:10:27,1.1432,EEG Eye State,Gaussian,,,0.4765
DWN,2025-01-27 22:10:28,1.142,EEG Eye State,Gaussian,,,0.4914
DWN,2025-01-27 22:10:28,1.1538,EEG Eye State,Gaussian,,,0.4932
DWN,2025-01-27 22:10:29,3.328,EEG Eye State,Distributive,,,0.8244
DWN,2025-01-27 22:10:29,2.8194,EEG Eye State,Distributive,,,0.8418
DWN,2025-01-27 22:10:29,1.0809,EEG Eye State,Gaussian,,,0.4904
DWN,2025-01-27 22:10:30,1.1717,EEG Eye State,Gaussian,,,0.49
DWN,2025-01-27 22:10:30,1.0613,EEG Eye State,Gaussian,,,0.503
DWN,2025-01-27 22:10:31,1.1369,EEG Eye State,Gaussian,,,0.4862
DWN,2025-01-27 22:10:32,1.1221,EEG Eye State,Gaussian,,,0.4998
DWN,2025-01-27 22:10:32,1.1768,EEG Eye State,Gaussian,,,0.5063
DWN,2025-01-27 22:10:32,2.8042,EEG Eye State,Distributive,,,0.8382
DWN,2025-01-27 22:10:32,3.2001,EEG Eye State,Distributive,,,0.8345
DWN,2025-01-27 22:10:33,1.0862,EEG Eye State,Gaussian,,,0.4951
DWN,2025-01-27 22:10:33,1.1433,EEG Eye State,Gaussian,,,0.4816
DWN,2025-01-27 22:10:34,1.0881,EEG Eye State,Gaussian,,,0.4755
DWN,2025-01-27 22:10:34,1.2095,EEG Eye State,Gaussian,,,0.4937
DWN,2025-01-27 22:10:35,2.8308,EEG Eye State,Distributive,,,0.8485
DWN,2025-01-27 22:10:35,1.1482,EEG Eye State,Gaussian,,,0.5152
DWN,2025-01-27 22:10:35,1.2047,EEG Eye State,Gaussian,,,0.497
DWN,2025-01-27 22:10:35,3.585,EEG Eye State,Distributive,,,0.838
DWN,2025-01-27 22:10:36,1.21,EEG Eye State,Linear,,,0.4145
DWN,2025-01-27 22:10:37,1.2506,EEG Eye State,Gaussian,,,0.5189
DWN,2025-01-27 22:10:37,1.1754,EEG Eye State,Linear,,,0.4224
DWN,2025-01-27 22:10:38,2.8569,EEG Eye State,Distributive,,,0.8487
DWN,2025-01-27 22:10:38,1.1723,EEG Eye State,Linear,,,0.442
DWN,2025-01-27 22:10:38,1.0543,EEG Eye State,Linear,,,0.4569
DWN,2025-01-27 22:10:39,3.2425,EEG Eye State,Distributive,,,0.8301
DWN,2025-01-27 22:10:39,1.168,EEG Eye State,Linear,,,0.4629
DWN,2025-01-27 22:10:40,1.0802,EEG Eye State,Linear,,,0.4737
DWN,2025-01-27 22:10:40,1.1307,EEG Eye State,Linear,,,0.4657
DWN,2025-01-27 22:10:40,2.752,EEG Eye State,Distributive,,,0.8594
DWN,2025-01-27 22:10:41,1.1082,EEG Eye State,Linear,,,0.4443
DWN,2025-01-27 22:10:41,1.139,EEG Eye State,Linear,,,0.476
