model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:34:43,0.3659,Distributive,0.7851
Wisard,2025-01-22 23:34:43,0.4162,Distributive,0.7194
Wisard,2025-01-22 23:34:43,0.4669,Distributive,0.7672
Wisard,2025-01-22 23:34:43,0.5172,Distributive,0.7970
Wisard,2025-01-22 23:34:43,0.0545,Gaussian,0.6537
Wisard,2025-01-22 23:34:43,0.1058,Gaussian,0.6239
Wisard,2025-01-22 23:34:43,0.1574,Gaussian,0.6119
Wisard,2025-01-22 23:34:43,0.2090,Gaussian,0.6836
Wisard,2025-01-22 23:34:43,0.2599,Gaussian,0.6448
Wisard,2025-01-22 23:34:43,0.3105,Gaussian,0.6597
Wisard,2025-01-22 23:34:43,0.3610,Gaussian,0.6925
Wisard,2025-01-22 23:34:44,0.4133,Gaussian,0.6567
Wisard,2025-01-22 23:34:44,0.4648,Gaussian,0.6806
Wisard,2025-01-22 23:34:44,0.5154,Gaussian,0.7403
Wisard,2025-01-22 23:34:44,0.0547,Linear,0.6567
Wisard,2025-01-22 23:34:44,0.1054,Linear,0.6985
Wisard,2025-01-22 23:34:44,0.1557,Linear,0.6836
Wisard,2025-01-22 23:34:44,0.2055,Linear,0.6567
Wisard,2025-01-22 23:34:44,0.2560,Linear,0.6179
Wisard,2025-01-22 23:34:44,0.3064,Linear,0.6388
Wisard,2025-01-22 23:34:44,0.3571,Linear,0.6806
Wisard,2025-01-22 23:34:44,0.4098,Linear,0.6836
Wisard,2025-01-22 23:34:44,0.4617,Linear,0.6537
Wisard,2025-01-22 23:34:44,0.5137,Linear,0.6687
Wisard,2025-01-22 23:34:44,0.0731,Scatter Code,0.5045
Wisard,2025-01-22 23:34:44,0.1409,Scatter Code,0.5522
Wisard,2025-01-22 23:34:44,0.2064,Scatter Code,0.6030
Wisard,2025-01-22 23:34:44,0.2738,Scatter Code,0.6149
Wisard,2025-01-22 23:34:45,0.3418,Scatter Code,0.6269
Wisard,2025-01-22 23:34:45,0.4054,Scatter Code,0.5791
Wisard,2025-01-22 23:34:45,0.4684,Scatter Code,0.6090
Wisard,2025-01-22 23:34:45,0.5306,Scatter Code,0.6149
Wisard,2025-01-22 23:34:45,0.5925,Scatter Code,0.5254
Wisard,2025-01-22 23:34:45,0.6555,Scatter Code,0.6328
Wisard,2025-01-22 23:39:00,0.0549,Distributive,0.6836
Wisard,2025-01-22 23:39:00,0.1049,Distributive,0.6567
Wisard,2025-01-22 23:39:00,0.1541,Distributive,0.7522
Wisard,2025-01-22 23:39:01,0.2077,Distributive,0.7254
Wisard,2025-01-22 23:39:01,0.2591,Distributive,0.7373
Wisard,2025-01-22 23:39:01,0.3100,Distributive,0.7403
Wisard,2025-01-22 23:39:01,0.3641,Distributive,0.7284
Wisard,2025-01-22 23:39:01,0.4161,Distributive,0.7284
Wisard,2025-01-22 23:39:01,0.4669,Distributive,0.7224
Wisard,2025-01-22 23:39:01,0.5186,Distributive,0.7403
Wisard,2025-01-22 23:39:01,0.0575,Gaussian,0.6299
Wisard,2025-01-22 23:39:01,0.1076,Gaussian,0.6627
Wisard,2025-01-22 23:39:01,0.1567,Gaussian,0.6597
Wisard,2025-01-22 23:39:01,0.2075,Gaussian,0.6567
Wisard,2025-01-22 23:39:01,0.2577,Gaussian,0.6627
Wisard,2025-01-22 23:39:01,0.3099,Gaussian,0.6328
Wisard,2025-01-22 23:39:01,0.3623,Gaussian,0.6507
Wisard,2025-01-22 23:39:01,0.4166,Gaussian,0.6657
Wisard,2025-01-22 23:39:01,0.4691,Gaussian,0.6716
Wisard,2025-01-22 23:39:01,0.5209,Gaussian,0.6687
Wisard,2025-01-22 23:39:01,0.0540,Linear,0.6179
Wisard,2025-01-22 23:39:01,0.1049,Linear,0.6716
Wisard,2025-01-22 23:39:02,0.1547,Linear,0.6657
Wisard,2025-01-22 23:39:02,0.2041,Linear,0.6657
Wisard,2025-01-22 23:39:02,0.2548,Linear,0.6627
Wisard,2025-01-22 23:39:02,0.3050,Linear,0.6746
Wisard,2025-01-22 23:39:02,0.3555,Linear,0.7194
Wisard,2025-01-22 23:39:02,0.4072,Linear,0.6716
Wisard,2025-01-22 23:39:02,0.4614,Linear,0.6925
Wisard,2025-01-22 23:39:02,0.5144,Linear,0.7045
Wisard,2025-01-22 23:39:02,0.0727,Scatter Code,0.5403
Wisard,2025-01-22 23:39:02,0.1352,Scatter Code,0.3791
Wisard,2025-01-22 23:39:02,0.2026,Scatter Code,0.4806
Wisard,2025-01-22 23:39:02,0.2657,Scatter Code,0.5582
Wisard,2025-01-22 23:39:02,0.3308,Scatter Code,0.5672
Wisard,2025-01-22 23:39:02,0.3931,Scatter Code,0.5821
Wisard,2025-01-22 23:39:02,0.4580,Scatter Code,0.5552
Wisard,2025-01-22 23:39:02,0.5197,Scatter Code,0.6239
Wisard,2025-01-22 23:39:02,0.5833,Scatter Code,0.4478
Wisard,2025-01-22 23:39:03,0.6482,Scatter Code,0.5493
