model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:37:51,4.9466,Gaussian,0.6646
Wisard,2025-01-22 23:37:51,5.7593,Gaussian,0.6770
Wisard,2025-01-22 23:37:52,6.5824,Gaussian,0.6699
Wisard,2025-01-22 23:37:53,7.3942,Gaussian,0.6828
Wisard,2025-01-22 23:37:54,8.2023,Gaussian,0.6703
Wisard,2025-01-22 23:37:55,0.8166,Linear,0.4713
Wisard,2025-01-22 23:37:55,1.6394,Linear,0.5380
Wisard,2025-01-22 23:37:56,2.4517,Linear,0.5342
Wisard,2025-01-22 23:37:57,3.2593,Linear,0.5342
Wisard,2025-01-22 23:37:58,4.0708,Linear,0.4674
Wisard,2025-01-22 23:37:59,4.8748,Linear,0.5342
Wisard,2025-01-22 23:37:59,5.6873,Linear,0.4715
Wisard,2025-01-22 23:38:00,6.5234,Linear,0.5382
Wisard,2025-01-22 23:38:01,7.3431,Linear,0.4713
Wisard,2025-01-22 23:38:02,8.1427,Linear,0.5382
Wisard,2025-01-22 23:38:03,1.1502,Scatter Code,0.5342
Wisard,2025-01-22 23:38:04,2.2628,Scatter Code,0.4656
Wisard,2025-01-22 23:38:05,3.3971,Scatter Code,0.5342
Wisard,2025-01-22 23:38:06,4.5345,Scatter Code,0.5342
Wisard,2025-01-22 23:38:08,5.6562,Scatter Code,0.5342
Wisard,2025-01-22 23:38:09,6.7980,Scatter Code,0.5344
Wisard,2025-01-22 23:38:10,7.9246,Scatter Code,0.4658
Wisard,2025-01-22 23:38:11,9.0595,Scatter Code,0.4658
Wisard,2025-01-22 23:38:12,10.2088,Scatter Code,0.4656
Wisard,2025-01-22 23:38:13,11.3786,Scatter Code,0.5344
