model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:34:46,0.0591,Linear,0.6479
Wisard,2025-01-22 23:34:46,0.0751,Linear,0.6620
Wisard,2025-01-22 23:34:46,0.0907,Linear,0.6620
Wisard,2025-01-22 23:34:46,0.1071,Linear,0.7324
Wisard,2025-01-22 23:34:46,0.1230,Linear,0.7324
Wisard,2025-01-22 23:34:46,0.1390,Linear,0.6620
Wisard,2025-01-22 23:34:46,0.1552,Linear,0.6761
Wisard,2025-01-22 23:34:46,0.1724,Linear,0.6620
Wisard,2025-01-22 23:34:46,0.0448,Scatter Code,0.3662
Wisard,2025-01-22 23:34:46,0.0657,Scatter Code,0.0986
Wisard,2025-01-22 23:34:46,0.0857,Scatter Code,0.1549
Wisard,2025-01-22 23:34:46,0.1053,Scatter Code,0.0704
Wisard,2025-01-22 23:34:46,0.1263,Scatter Code,0.1972
Wisard,2025-01-22 23:34:46,0.1463,Scatter Code,0.3521
Wisard,2025-01-22 23:34:46,0.1671,Scatter Code,0.3521
Wisard,2025-01-22 23:34:46,0.1888,Scatter Code,0.3521
Wisard,2025-01-22 23:34:46,0.2110,Scatter Code,0.3380
Wisard,2025-01-22 23:34:47,0.2329,Scatter Code,0.3521
Wisard,2025-01-22 23:39:03,0.0261,Distributive,0.6056
Wisard,2025-01-22 23:39:03,0.0418,Distributive,0.6479
Wisard,2025-01-22 23:39:04,0.0572,Distributive,0.6620
Wisard,2025-01-22 23:39:04,0.0725,Distributive,0.6901
Wisard,2025-01-22 23:39:04,0.0878,Distributive,0.7042
Wisard,2025-01-22 23:39:04,0.1035,Distributive,0.6479
Wisard,2025-01-22 23:39:04,0.1343,Distributive,0.7887
Wisard,2025-01-22 23:39:04,0.1494,Distributive,0.8028
Wisard,2025-01-22 23:39:04,0.1648,Distributive,0.8310
Wisard,2025-01-22 23:39:04,0.1797,Distributive,0.8451
Wisard,2025-01-22 23:39:04,0.0227,Gaussian,0.5634
Wisard,2025-01-22 23:39:04,0.0380,Gaussian,0.7324
Wisard,2025-01-22 23:39:04,0.0532,Gaussian,0.6901
Wisard,2025-01-22 23:39:04,0.0686,Gaussian,0.7042
Wisard,2025-01-22 23:39:04,0.0845,Gaussian,0.7042
Wisard,2025-01-22 23:39:04,0.1003,Gaussian,0.7183
Wisard,2025-01-22 23:39:04,0.1156,Gaussian,0.6761
Wisard,2025-01-22 23:39:04,0.1308,Gaussian,0.6901
Wisard,2025-01-22 23:39:04,0.1469,Gaussian,0.7324
Wisard,2025-01-22 23:39:04,0.1623,Gaussian,0.7465
Wisard,2025-01-22 23:39:04,0.0225,Linear,0.4648
Wisard,2025-01-22 23:39:04,0.0383,Linear,0.7465
Wisard,2025-01-22 23:39:04,0.0537,Linear,0.6761
Wisard,2025-01-22 23:39:04,0.0692,Linear,0.6620
Wisard,2025-01-22 23:39:04,0.0975,Linear,0.7324
Wisard,2025-01-22 23:39:04,0.1137,Linear,0.7042
Wisard,2025-01-22 23:39:04,0.1299,Linear,0.7324
Wisard,2025-01-22 23:39:04,0.1456,Linear,0.6761
Wisard,2025-01-22 23:39:04,0.1613,Linear,0.6761
Wisard,2025-01-22 23:39:04,0.1773,Linear,0.6479
Wisard,2025-01-22 23:39:04,0.0338,Scatter Code,0.3239
Wisard,2025-01-22 23:39:04,0.0535,Scatter Code,0.3521
Wisard,2025-01-22 23:39:04,0.0728,Scatter Code,0.1127
Wisard,2025-01-22 23:39:04,0.0925,Scatter Code,0.3521
Wisard,2025-01-22 23:39:04,0.1117,Scatter Code,0.3380
Wisard,2025-01-22 23:39:04,0.1309,Scatter Code,0.3380
Wisard,2025-01-22 23:39:04,0.1504,Scatter Code,0.3380
Wisard,2025-01-22 23:39:04,0.1697,Scatter Code,0.3239
Wisard,2025-01-22 23:39:04,0.1892,Scatter Code,0.3380
Wisard,2025-01-22 23:39:04,0.2083,Scatter Code,0.3521
