model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:34:12,5.6062,Gaussian,0.8018
Wisard,2025-01-22 23:34:13,6.5149,Gaussian,0.8109
Wisard,2025-01-22 23:34:14,7.4402,Gaussian,0.8021
Wisard,2025-01-22 23:34:15,8.3546,Gaussian,0.8101
Wisard,2025-01-22 23:34:16,9.2815,Gaussian,0.8271
Wisard,2025-01-22 23:34:17,0.9388,Linear,0.7559
Wisard,2025-01-22 23:34:18,1.8541,Linear,0.7752
Wisard,2025-01-22 23:34:18,2.7772,Linear,0.8139
Wisard,2025-01-22 23:34:19,3.6979,Linear,0.8002
Wisard,2025-01-22 23:34:20,4.6560,Linear,0.8045
Wisard,2025-01-22 23:34:21,5.6167,Linear,0.8053
Wisard,2025-01-22 23:34:22,6.5648,Linear,0.7784
Wisard,2025-01-22 23:34:23,7.4867,Linear,0.8201
Wisard,2025-01-22 23:34:24,8.4208,Linear,0.7782
Wisard,2025-01-22 23:34:25,9.3452,Linear,0.7838
Wisard,2025-01-22 23:34:26,1.2418,Scatter Code,0.7564
Wisard,2025-01-22 23:34:28,2.4656,Scatter Code,0.7175
Wisard,2025-01-22 23:34:29,3.6922,Scatter Code,0.7383
Wisard,2025-01-22 23:34:30,4.9260,Scatter Code,0.4274
Wisard,2025-01-22 23:34:31,6.1510,Scatter Code,0.7274
Wisard,2025-01-22 23:34:32,7.3872,Scatter Code,0.7263
Wisard,2025-01-22 23:34:34,8.6366,Scatter Code,0.7196
Wisard,2025-01-22 23:34:35,9.8830,Scatter Code,0.5950
Wisard,2025-01-22 23:34:36,11.1148,Scatter Code,0.7569
Wisard,2025-01-22 23:34:37,12.3425,Scatter Code,0.7626
Wisard,2025-01-22 23:38:16,1.0358,Distributive,0.8126
Wisard,2025-01-22 23:38:17,1.9690,Distributive,0.7918
Wisard,2025-01-22 23:38:18,2.9043,Distributive,0.8244
Wisard,2025-01-22 23:38:19,3.8290,Distributive,0.8278
Wisard,2025-01-22 23:38:20,4.7552,Distributive,0.8273
Wisard,2025-01-22 23:38:21,5.6877,Distributive,0.8420
Wisard,2025-01-22 23:38:22,6.6162,Distributive,0.8264
Wisard,2025-01-22 23:38:23,7.5426,Distributive,0.8214
Wisard,2025-01-22 23:38:24,8.4816,Distributive,0.8345
Wisard,2025-01-22 23:38:25,9.4543,Distributive,0.8345
Wisard,2025-01-22 23:38:26,0.9570,Gaussian,0.7924
Wisard,2025-01-22 23:38:26,1.8689,Gaussian,0.8136
